feature,importance
ankle_acc16_x_mean,0.043560122270195865
ankle_gyro_z_std,0.03858217633566347
chest_acc16_y_std,0.03363619883271163
chest_acc16_y_min,0.03098336140785333
chest_acc16_z_mean,0.029590698498534136
ankle_acc16_x_std,0.028851388093900164
ankle_acc16_x_min,0.028441817798398376
hand_acc16_x_mean,0.02801577254032752
hand_acc16_x_max,0.027123115278151658
chest_acc16_z_min,0.02629336142721583
hand_acc16_y_std,0.026111728812422182
chest_acc16_y_max,0.025521196652435164
ankle_acc16_x_max,0.02523418249290926
chest_gyro_y_std,0.023723046250717937
ankle_gyro_z_max,0.021526281344157266
hand_acc16_y_max,0.021042784432460913
heart_rate_max,0.020860082162947522
heart_rate_min,0.02003518035209373
hand_acc16_x_min,0.019480375284956716
ankle_acc16_y_std,0.01922094367673194
chest_gyro_x_std,0.018608328684762983
hand_acc16_z_max,0.01780627272709781
hand_acc16_z_mean,0.01758354883397089
heart_rate_mean,0.017335257325313862
chest_gyro_x_max,0.015393261747503707
chest_acc16_y_mean,0.015353876570373029
hand_acc16_x_std,0.01431749979545073
chest_acc16_z_max,0.013849936995995193
ankle_gyro_x_std,0.01293481291682378
hand_gyro_z_std,0.012744183151252201
ankle_gyro_z_min,0.011934175287994942
chest_acc16_z_std,0.011870626943566175
hand_acc16_z_std,0.01180580498547347
hand_acc16_y_mean,0.011779468206400062
ankle_acc16_y_mean,0.01173974224666773
chest_gyro_y_max,0.010762297105796997
ankle_acc16_z_std,0.01029950975186692
ankle_gyro_y_mean,0.010161720268539351
hand_acc16_z_min,0.009926580735545748
ankle_acc16_y_min,0.009646344218376004
chest_gyro_y_min,0.009568459662066039
hand_gyro_y_std,0.009467662629924956
chest_gyro_y_mean,0.009408537689149695
ankle_acc16_y_max,0.00915918627603101
ankle_gyro_x_mean,0.009088754672103565
hand_acc16_y_min,0.008535475975796387
chest_gyro_z_std,0.00835500378874165
ankle_acc16_z_min,0.007863893813986155
chest_acc16_x_std,0.00784667061983747
chest_acc16_x_mean,0.007017717849498602
chest_gyro_x_min,0.006978114218061851
hand_gyro_y_max,0.0065793965526077655
hand_gyro_z_max,0.0063518666700970675
ankle_gyro_x_min,0.00609624352353937
ankle_acc16_z_max,0.005984243583985142
hand_gyro_z_min,0.005947180244009157
ankle_gyro_y_min,0.0058939460038579155
ankle_gyro_x_max,0.005761785899415295
chest_acc16_x_min,0.005743854025118332
hand_gyro_y_min,0.005138923513116006
ankle_acc16_z_mean,0.004486558650683907
hand_gyro_x_std,0.0044755833473655825
ankle_gyro_y_max,0.004101272719442407
chest_acc16_x_max,0.004096251904373263
ankle_gyro_y_std,0.0038049724343550144
chest_gyro_z_min,0.0037990861881305707
hand_gyro_x_mean,0.0037636190402109584
chest_gyro_z_max,0.0028660486120877333
hand_gyro_x_max,0.0024945990582264793
hand_gyro_x_min,0.0024869374786393593
hand_gyro_y_mean,0.0024760791210493563
heart_rate_std,0.002411165627173777
chest_gyro_z_mean,0.0022863897159536573
ankle_gyro_z_mean,0.00223272530594427
chest_gyro_x_mean,0.002142976928692399
hand_gyro_z_mean,0.0016017542131714396
